,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude
231,"Barisha, India",22.48222000000004,88.31636000000003,Shaw Sweets,Indian Sweet Shop,22.48896190148827,88.31477436602493
232,"Barisha, India",22.48222000000004,88.31636000000003,Udyog Bags,Business Service,22.48948163434864,88.31414580345154
233,"Barisha, India",22.48222000000004,88.31636000000003,State Bank of India ATM,ATM,22.47519,88.311308
234,"Barisha, India",22.48222000000004,88.31636000000003,State Bank of India ATM,ATM,22.4825653,88.3260505
235,Barkalikapur,22.501570000000072,88.39552000000003,Metro Cash and Carry,Grocery Store,22.49549683979399,88.39871108845009
236,Barkalikapur,22.501570000000072,88.39552000000003,Wasabee - Oriental Cuisine,Japanese Restaurant,22.503259887109447,88.39631795883179
237,Barkalikapur,22.501570000000072,88.39552000000003,Spencer's,Supermarket,22.504132133180462,88.40000867843628
238,Barkalikapur,22.501570000000072,88.39552000000003,Avishar Shopping Mall,Shopping Mall,22.50411230946722,88.4000301361084
239,Barrackpore,22.695640000000026,88.42739000000006,Readymade Center,Clothing Store,22.699099610979022,88.43471158876282
240,Barrackpore,22.695640000000026,88.42739000000006,Toll Booth,Toll Booth,22.699442747442514,88.4186356812815
